barcode,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id
969803,M+ CLASSIC POCKET LITE TEE IN OAT,SMALL,969803,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952304433,active,gid://shopify/InventoryItem/53479177027889
969803,M+ CLASSIC POCKET LITE TEE,OAT / SMALL,969803,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171839281,active,gid://shopify/InventoryItem/53656618795313
969804,M+ CLASSIC POCKET LITE TEE IN OAT,MEDIUM,969804,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952337201,active,gid://shopify/InventoryItem/53479177060657
969804,M+ CLASSIC POCKET LITE TEE,OAT / MEDIUM,969804,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171806513,active,gid://shopify/InventoryItem/53656618762545
969805,M+ CLASSIC POCKET LITE TEE IN OAT,LARGE,969805,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952369969,active,gid://shopify/InventoryItem/53479177093425
969805,M+ CLASSIC POCKET LITE TEE,OAT / LARGE,969805,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171773745,active,gid://shopify/InventoryItem/53656618729777
969806,M+ CLASSIC POCKET LITE TEE IN OAT,EXTRA - LARGE,969806,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952402737,active,gid://shopify/InventoryItem/53479177126193
969806,M+ CLASSIC POCKET LITE TEE,OAT / EXTRA-LARGE,969806,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171740977,active,gid://shopify/InventoryItem/53656618697009
969807,M+ CLASSIC POCKET LITE TEE IN OAT,2X - LARGE,969807,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952435505,active,gid://shopify/InventoryItem/53479177158961
969807,M+ CLASSIC POCKET LITE TEE,OAT / 2X - LARGE,969807,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171609905,active,gid://shopify/InventoryItem/53656618565937
969808,M+ CLASSIC POCKET LITE TEE IN OAT,3X - LARGE,969808,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952468273,active,gid://shopify/InventoryItem/53479177191729
969808,M+ CLASSIC POCKET LITE TEE,OAT / 3X-LARGE,969808,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171642673,active,gid://shopify/InventoryItem/53656618598705
969809,M+ CLASSIC POCKET LITE TEE IN OAT,4X - LARGE,969809,gid://shopify/Product/10305612874033,gid://shopify/ProductVariant/51411952501041,active,gid://shopify/InventoryItem/53479177224497
969809,M+ CLASSIC POCKET LITE TEE,OAT / 4X-LARGE,969809,gid://shopify/Product/10341333795121,gid://shopify/ProductVariant/51589171675441,active,gid://shopify/InventoryItem/53656618631473
973506,"""LAST SUPPER"" LONGSLEEVE TEE IN HEATHER GREY",EXTRA-LARGE,973506,gid://shopify/Product/10143062622513,gid://shopify/ProductVariant/50564137484593,archived,gid://shopify/InventoryItem/52628344996145
973506,"""LAST SUPPER"" LONGSLEEVE TEE IN HEATHER GREY",2X - LARGE,973506,gid://shopify/Product/10143062622513,gid://shopify/ProductVariant/50564137517361,archived,gid://shopify/InventoryItem/52628345028913
974562,KHAKI 7 POCKET LOUNGE PANTS,SMALL,974562,gid://shopify/Product/6716492218454,gid://shopify/ProductVariant/39741367222358,archived,gid://shopify/InventoryItem/41851005501526
974562,KHAKI 7 POCKET LOUNGE PANTS,SMALL,974562,gid://shopify/Product/6703960883286,gid://shopify/ProductVariant/39705650692182,archived,gid://shopify/InventoryItem/41814527344726
974563,KHAKI 7 POCKET LOUNGE PANTS,MEDIUM,974563,gid://shopify/Product/6716492218454,gid://shopify/ProductVariant/39741367255126,archived,gid://shopify/InventoryItem/41851005534294
974563,KHAKI 7 POCKET LOUNGE PANTS,MEDIUM,974563,gid://shopify/Product/6703960883286,gid://shopify/ProductVariant/39705650724950,archived,gid://shopify/InventoryItem/41814527377494
974564,KHAKI 7 POCKET LOUNGE PANTS,LARGE,974564,gid://shopify/Product/6716492218454,gid://shopify/ProductVariant/39741367287894,archived,gid://shopify/InventoryItem/41851005567062
974564,KHAKI 7 POCKET LOUNGE PANTS,LARGE,974564,gid://shopify/Product/6703960883286,gid://shopify/ProductVariant/39705650757718,archived,gid://shopify/InventoryItem/41814527410262
978102,VINTAGE MESH SHORTS IN SEAFOAM,SMALL,978102,gid://shopify/Product/6685875863638,gid://shopify/ProductVariant/39658465099862,archived,gid://shopify/InventoryItem/41766016811094
978102,"""OUTDOOR EXPLORATION"" TEE IN SHADOW PURPLE",EXTRA-SMALL,978102,gid://shopify/Product/10157209125169,gid://shopify/ProductVariant/50645636022577,active,gid://shopify/InventoryItem/52714487578929
978103,VINTAGE MESH SHORTS IN SEAFOAM,MEDIUM,978103,gid://shopify/Product/6685875863638,gid://shopify/ProductVariant/39658465132630,archived,gid://shopify/InventoryItem/41766016843862
978103,"""OUTDOOR EXPLORATION"" TEE IN SHADOW PURPLE",SMALL,978103,gid://shopify/Product/10157209125169,gid://shopify/ProductVariant/50645636055345,active,gid://shopify/InventoryItem/52714487611697
978752,"""SMILEY"" LITTLE HUMAN™ TEE IN OAT",3-4,978752,gid://shopify/Product/8841916252465,gid://shopify/ProductVariant/46740038451505,archived,gid://shopify/InventoryItem/48788082393393
978752,CLASSIC HOODIE IN OLIVE,SMALL,978752,gid://shopify/Product/8900320362801,gid://shopify/ProductVariant/47025533583665,archived,gid://shopify/InventoryItem/49074110529841
978753,"""SMILEY"" LITTLE HUMAN™ TEE IN OAT",5-6,978753,gid://shopify/Product/8841916252465,gid://shopify/ProductVariant/46740038484273,archived,gid://shopify/InventoryItem/48788082426161
978753,CLASSIC HOODIE IN OLIVE,MEDIUM,978753,gid://shopify/Product/8900320362801,gid://shopify/ProductVariant/47025533616433,archived,gid://shopify/InventoryItem/49074110562609
978754,"""SMILEY"" LITTLE HUMAN™ TEE IN OAT",7-8,978754,gid://shopify/Product/8841916252465,gid://shopify/ProductVariant/46740038517041,archived,gid://shopify/InventoryItem/48788082458929
978754,CLASSIC HOODIE IN OLIVE,LARGE,978754,gid://shopify/Product/8900320362801,gid://shopify/ProductVariant/47025533649201,archived,gid://shopify/InventoryItem/49074110595377
978755,"""SMILEY"" LITTLE HUMAN™ TEE IN OAT",9-10,978755,gid://shopify/Product/8841916252465,gid://shopify/ProductVariant/46740038549809,archived,gid://shopify/InventoryItem/48788082491697
978755,CLASSIC HOODIE IN OLIVE,EXTRA - LARGE,978755,gid://shopify/Product/8900320362801,gid://shopify/ProductVariant/47025533681969,archived,gid://shopify/InventoryItem/49074110628145
981005,GREY GLEN CHECK UNSTRUCTURED HAT,Default Title,981005,gid://shopify/Product/6598240436310,gid://shopify/ProductVariant/39452619800662,archived,gid://shopify/InventoryItem/41554624806998
981005,M'$ RIFT HOODIE IN WOOD,EXTRA - LARGE,981005,gid://shopify/Product/10173057958193,gid://shopify/ProductVariant/50694114443569,archived,gid://shopify/InventoryItem/52763660419377
984803,BOX LITE TEE IN CHARCOAL GREY,SMALL,984803,gid://shopify/Product/10212159848753,gid://shopify/ProductVariant/50897003610417,active,gid://shopify/InventoryItem/52966703497521
984803,BOX LITE TEE IN CHARCOAL GREY,MEDIUM,984803,gid://shopify/Product/10212159848753,gid://shopify/ProductVariant/50897003643185,active,gid://shopify/InventoryItem/52966703530289
987851,"""SUN IS OUT"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",1-2,987851,gid://shopify/Product/10515232358705,gid://shopify/ProductVariant/52328097644849,active,gid://shopify/InventoryItem/54422612082993
987851,"""CRAYONS"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",1-2,987851,gid://shopify/Product/8841843605809,gid://shopify/ProductVariant/46739688030513,archived,gid://shopify/InventoryItem/48787731972401
987852,"""SUN IS OUT"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",3-4,987852,gid://shopify/Product/10515232358705,gid://shopify/ProductVariant/52328097677617,active,gid://shopify/InventoryItem/54422612115761
987852,"""CRAYONS"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",3-4,987852,gid://shopify/Product/8841843605809,gid://shopify/ProductVariant/46739688063281,archived,gid://shopify/InventoryItem/48787732005169
987853,"""SUN IS OUT"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",5-6,987853,gid://shopify/Product/10515232358705,gid://shopify/ProductVariant/52328097710385,active,gid://shopify/InventoryItem/54422612148529
987853,"""CRAYONS"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",5-6,987853,gid://shopify/Product/8841843605809,gid://shopify/ProductVariant/46739688096049,archived,gid://shopify/InventoryItem/48787732037937
987854,"""SUN IS OUT"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",7-8,987854,gid://shopify/Product/10515232358705,gid://shopify/ProductVariant/52328097743153,active,gid://shopify/InventoryItem/54422612181297
987854,"""CRAYONS"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",7-8,987854,gid://shopify/Product/8841843605809,gid://shopify/ProductVariant/46739688128817,archived,gid://shopify/InventoryItem/48787732070705
987855,"""SUN IS OUT"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",9-10,987855,gid://shopify/Product/10515232358705,gid://shopify/ProductVariant/52328097775921,active,gid://shopify/InventoryItem/54422612214065
987855,"""CRAYONS"" LITTLE HUMAN™ HOODIE IN ANTHRACITE",9-10,987855,gid://shopify/Product/8841843605809,gid://shopify/ProductVariant/46739688161585,archived,gid://shopify/InventoryItem/48787732103473
988105,STEALTH 5 PANEL ALL WEATHER HAT,Default Title,988105,gid://shopify/Product/6614954901590,gid://shopify/ProductVariant/39500434145366,archived,gid://shopify/InventoryItem/41603946610774
988105,LOUNGE LITE TEE IN OAT,LARGE,988105,gid://shopify/Product/10276666212657,gid://shopify/ProductVariant/51313359814961,active,gid://shopify/InventoryItem/53381267980593
990202,LITTLE HUMAN™ TOWEL CARDIGAN IN ANTHRACITE,3-4,990202,gid://shopify/Product/9690095354161,gid://shopify/ProductVariant/49211299823921,archived,gid://shopify/InventoryItem/51258643054897
990202,LONGSLEEVE TEE V4 IN CAVIAR,EXTRA - SMALL,990202,gid://shopify/Product/10193725882673,gid://shopify/ProductVariant/50750531797297,archived,gid://shopify/InventoryItem/52820130332977
990203,LITTLE HUMAN™ TOWEL CARDIGAN IN ANTHRACITE,5-6,990203,gid://shopify/Product/9690095354161,gid://shopify/ProductVariant/49211299856689,archived,gid://shopify/InventoryItem/51258643087665
990203,LONGSLEEVE TEE V4 IN CAVIAR,SMALL,990203,gid://shopify/Product/10193725882673,gid://shopify/ProductVariant/50750531830065,archived,gid://shopify/InventoryItem/52820130365745
990204,LITTLE HUMAN™ TOWEL CARDIGAN IN ANTHRACITE,7-8,990204,gid://shopify/Product/9690095354161,gid://shopify/ProductVariant/49211299889457,archived,gid://shopify/InventoryItem/51258643120433
990204,LONGSLEEVE TEE V4 IN CAVIAR,MEDIUM,990204,gid://shopify/Product/10193725882673,gid://shopify/ProductVariant/50750531862833,archived,gid://shopify/InventoryItem/52820130398513
990205,LITTLE HUMAN™ TOWEL CARDIGAN IN ANTHRACITE,9-10,990205,gid://shopify/Product/9690095354161,gid://shopify/ProductVariant/49211299922225,archived,gid://shopify/InventoryItem/51258643153201
990205,LONGSLEEVE TEE V4 IN CAVIAR,LARGE,990205,gid://shopify/Product/10193725882673,gid://shopify/ProductVariant/50750531895601,archived,gid://shopify/InventoryItem/52820130431281
990206,LITTLE HUMAN™ TOWEL CARDIGAN IN ANTHRACITE,11-12,990206,gid://shopify/Product/9690095354161,gid://shopify/ProductVariant/49211299954993,archived,gid://shopify/InventoryItem/51258643185969
990206,LONGSLEEVE TEE V4 IN CAVIAR,EXTRA - LARGE,990206,gid://shopify/Product/10193725882673,gid://shopify/ProductVariant/50750531928369,archived,gid://shopify/InventoryItem/52820130464049
990207,LITTLE HUMAN™ TOWEL CARDIGAN IN ANTHRACITE,13-14,990207,gid://shopify/Product/9690095354161,gid://shopify/ProductVariant/49211299987761,archived,gid://shopify/InventoryItem/51258643218737
990207,LONGSLEEVE TEE V4 IN CAVIAR,2X - LARGE,990207,gid://shopify/Product/10193725882673,gid://shopify/ProductVariant/50750531961137,archived,gid://shopify/InventoryItem/52820130496817
990402,"""PAINT SPLAT"" LITTLE HUMAN™ CARGO PANTS IN OLIVE",3-4,990402,gid://shopify/Product/9327839183153,gid://shopify/ProductVariant/48254145560881,active,gid://shopify/InventoryItem/50301015949617
990402,LONGSLEEVE TEE V4 IN WHITE,EXTRA-SMALL,990402,gid://shopify/Product/10194632048945,gid://shopify/ProductVariant/50753565688113,archived,gid://shopify/InventoryItem/52823163765041
990403,"""PAINT SPLAT"" LITTLE HUMAN™ CARGO PANTS IN OLIVE",5-6,990403,gid://shopify/Product/9327839183153,gid://shopify/ProductVariant/48254145593649,active,gid://shopify/InventoryItem/50301015982385
990403,LONGSLEEVE TEE V4 IN WHITE,SMALL,990403,gid://shopify/Product/10194632048945,gid://shopify/ProductVariant/50753565720881,archived,gid://shopify/InventoryItem/52823163797809
990404,"""PAINT SPLAT"" LITTLE HUMAN™ CARGO PANTS IN OLIVE",7-8,990404,gid://shopify/Product/9327839183153,gid://shopify/ProductVariant/48254145626417,active,gid://shopify/InventoryItem/50301016015153
990404,LONGSLEEVE TEE V4 IN WHITE,MEDIUM,990404,gid://shopify/Product/10194632048945,gid://shopify/ProductVariant/50753565753649,archived,gid://shopify/InventoryItem/52823163830577
