barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
130004,2,JJ TEE,ANTHRACITE / MEDIUM,130004,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541822769,archived,gid://shopify/InventoryItem/53656990613809,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130004,2,JJ TEE IN ANTHRACITE,MEDIUM,130004,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553321265,archived,gid://shopify/InventoryItem/53478786826545,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130005,2,JJ TEE,ANTHRACITE / LARGE,130005,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541790001,archived,gid://shopify/InventoryItem/53656990581041,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130005,2,JJ TEE IN ANTHRACITE,LARGE,130005,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553354033,archived,gid://shopify/InventoryItem/53478786859313,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130006,2,JJ TEE,ANTHRACITE / EXTRA-LARGE,130006,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541724465,archived,gid://shopify/InventoryItem/53656990515505,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130006,2,JJ TEE IN ANTHRACITE,EXTRA - LARGE,130006,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553386801,archived,gid://shopify/InventoryItem/53478786892081,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130007,2,JJ TEE,ANTHRACITE / 2X-LARGE,130007,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541626161,archived,gid://shopify/InventoryItem/53656990417201,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130007,2,JJ TEE IN ANTHRACITE,2X - LARGE,130007,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553419569,archived,gid://shopify/InventoryItem/53478786924849,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130008,2,JJ TEE,ANTHRACITE / 3X-LARGE,130008,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541658929,archived,gid://shopify/InventoryItem/53656990449969,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130008,2,JJ TEE IN ANTHRACITE,3X - LARGE,130008,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553452337,archived,gid://shopify/InventoryItem/53478786957617,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130009,2,JJ TEE,ANTHRACITE / 4X-LARGE,130009,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541691697,archived,gid://shopify/InventoryItem/53656990482737,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130009,2,JJ TEE IN ANTHRACITE,4X - LARGE,130009,gid://shopify/Product/10305559232817,gid://shopify/ProductVariant/51411553485105,archived,gid://shopify/InventoryItem/53478786990385,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130102,2,JJ TEE,HEATHER GREY / EXTRA-SMALL,130102,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589542019377,archived,gid://shopify/InventoryItem/53656990810417,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130102,2,JJ TEE IN HEATHER GREY,EXTRA - SMALL,130102,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544113457,active,gid://shopify/InventoryItem/53478777651505,keep barcode on this variant,high,Only active variant in duplicate group.
130103,2,JJ TEE,HEATHER GREY / SMALL,130103,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589542117681,archived,gid://shopify/InventoryItem/53656990908721,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130103,2,JJ TEE IN HEATHER GREY,SMALL,130103,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544146225,active,gid://shopify/InventoryItem/53478777684273,keep barcode on this variant,high,Only active variant in duplicate group.
130104,2,JJ TEE,HEATHER GREY / MEDIUM,130104,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589542084913,archived,gid://shopify/InventoryItem/53656990875953,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130104,2,JJ TEE IN HEATHER GREY,MEDIUM,130104,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544178993,active,gid://shopify/InventoryItem/53478777717041,keep barcode on this variant,high,Only active variant in duplicate group.
130105,2,JJ TEE,HEATHER GREY / LARGE,130105,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589542052145,archived,gid://shopify/InventoryItem/53656990843185,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130105,2,JJ TEE IN HEATHER GREY,LARGE,130105,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544211761,active,gid://shopify/InventoryItem/53478777749809,keep barcode on this variant,high,Only active variant in duplicate group.
130106,2,JJ TEE,HEATHER GREY / EXTRA-LARGE,130106,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541986609,archived,gid://shopify/InventoryItem/53656990777649,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130106,2,JJ TEE IN HEATHER GREY,EXTRA - LARGE,130106,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544244529,active,gid://shopify/InventoryItem/53478777782577,keep barcode on this variant,high,Only active variant in duplicate group.
130107,2,JJ TEE,HEATHER GREY / 2X-LARGE,130107,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541888305,archived,gid://shopify/InventoryItem/53656990679345,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130107,2,JJ TEE IN HEATHER GREY,2X - LARGE,130107,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544277297,active,gid://shopify/InventoryItem/53478777815345,keep barcode on this variant,high,Only active variant in duplicate group.
130108,2,JJ TEE,HEATHER GREY / 3X-LARGE,130108,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541921073,archived,gid://shopify/InventoryItem/53656990712113,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130108,2,JJ TEE IN HEATHER GREY,3X - LARGE,130108,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544310065,active,gid://shopify/InventoryItem/53478777848113,keep barcode on this variant,high,Only active variant in duplicate group.
130109,2,JJ TEE,HEATHER GREY / 4X-LARGE,130109,gid://shopify/Product/10341380587825,gid://shopify/ProductVariant/51589541953841,archived,gid://shopify/InventoryItem/53656990744881,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130109,2,JJ TEE IN HEATHER GREY,4X - LARGE,130109,gid://shopify/Product/10305557201201,gid://shopify/ProductVariant/51411544342833,active,gid://shopify/InventoryItem/53478777880881,keep barcode on this variant,high,Only active variant in duplicate group.
130402,2,BRIDGET IN CAVIAR,SMALL,130402,gid://shopify/Product/10305856078129,gid://shopify/ProductVariant/51413500690737,archived,gid://shopify/InventoryItem/53480725643569,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130402,2,BRIDGET IN ANTHRACITE,SMALL,130402,gid://shopify/Product/10475580260657,gid://shopify/ProductVariant/52150215803185,active,gid://shopify/InventoryItem/54241422770481,keep barcode on this variant,high,Only active variant in duplicate group.
130403,2,BRIDGET IN CAVIAR,LARGE,130403,gid://shopify/Product/10305856078129,gid://shopify/ProductVariant/51413500756273,archived,gid://shopify/InventoryItem/53480725709105,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130403,2,BRIDGET IN ANTHRACITE,LARGE,130403,gid://shopify/Product/10475580260657,gid://shopify/ProductVariant/52150215835953,active,gid://shopify/InventoryItem/54241422803249,keep barcode on this variant,high,Only active variant in duplicate group.
130702,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / EXTRA-SMALL,130702,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170403633,archived,gid://shopify/InventoryItem/53500391489841,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130702,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",EXTRA-SMALL,130702,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176344369,archived,gid://shopify/InventoryItem/54269825188145,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130703,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / SMALL,130703,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170436401,archived,gid://shopify/InventoryItem/53500391522609,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130703,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",SMALL,130703,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176377137,archived,gid://shopify/InventoryItem/54269825220913,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130704,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / MEDIUM,130704,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170469169,archived,gid://shopify/InventoryItem/53500391555377,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130704,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",MEDIUM,130704,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176409905,archived,gid://shopify/InventoryItem/54269825253681,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130705,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / LARGE,130705,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170501937,archived,gid://shopify/InventoryItem/53500391588145,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130705,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",LARGE,130705,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176442673,archived,gid://shopify/InventoryItem/54269825286449,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130706,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / EXTRA-LARGE,130706,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170534705,archived,gid://shopify/InventoryItem/53500391620913,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130706,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",EXTRA-LARGE,130706,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176475441,archived,gid://shopify/InventoryItem/54269825319217,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130707,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / 2X-LARGE,130707,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170567473,archived,gid://shopify/InventoryItem/53500391653681,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130707,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",2X-LARGE,130707,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176508209,archived,gid://shopify/InventoryItem/54269825351985,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130708,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / 3X-LARGE,130708,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170600241,archived,gid://shopify/InventoryItem/53500391686449,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130708,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",3X-LARGE,130708,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176540977,archived,gid://shopify/InventoryItem/54269825384753,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
130709,2,"""CROP CIRCLES"" MOCK NECK TEE",CAVIAR/BONE / 4X-LARGE,130709,gid://shopify/Product/10311062487345,gid://shopify/ProductVariant/51433170633009,archived,gid://shopify/InventoryItem/53500391719217,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
130709,2,"""CROP CIRCLES"" MOCK NECK TEE IN CAVIAR/BONE",4X-LARGE,130709,gid://shopify/Product/10482781356337,gid://shopify/ProductVariant/52178176573745,archived,gid://shopify/InventoryItem/54269825417521,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
133004,2,M+ OVERPOCKET PHAT PANTS IN TARO,LARGE,133004,gid://shopify/Product/10442174759217,gid://shopify/ProductVariant/52002814198065,archived,gid://shopify/InventoryItem/54092649464113,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
133004,2,M+ OVERPOCKET PHAT PANTS IN TARO,EXTRA - LARGE,133004,gid://shopify/Product/10442174759217,gid://shopify/ProductVariant/52002814230833,archived,gid://shopify/InventoryItem/54092649496881,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
